tool_display	tool	fraction	fraction_float	max_distance	AllocCPUS	CPU_Time_Hours	Peak_Memory_Gb	is_long_retry	replaced_failed_job
blastn	blastn	0.0005	0.0005	perc_id=84%	38	6.602222222222222	0.6065673828125	false	false
blastn	blastn	0.001	0.001	perc_id=84%	38	9.02	0.6315422058105469	false	false
blastn	blastn	0.005	0.005	perc_id=84%	38	44.79055555555556	0.6804008483886719	false	false
blastn	blastn	0.01	0.01	perc_id=84%	38	94.7238888888889	0.6959114074707031	false	false
blastn	blastn	0.05	0.05	perc_id=84%	38	556.6355555555556	1.309326171875	false	false
blastn	blastn	0.1	0.1	perc_id=84%	38	1135.9816666666666	2.8206253051757812	false	false
bowtie1	bowtie1	0.0005	0.0005	3	38	0.041666666666666664	0.17908477783203125	false	false
bowtie1	bowtie1	0.001	0.001	3	38	0.0425	0.5047492980957031	false	false
bowtie1	bowtie1	0.005	0.005	3	38	0.09194444444444444	0.8279571533203125	false	false
bowtie1	bowtie1	0.01	0.01	3	38	0.10611111111111111	1.2249336242675781	false	false
bowtie1	bowtie1	0.05	0.05	3	38	4.071111111111111	4.152011871337891	false	false
bowtie1	bowtie1	0.1	0.1	3	38	10.273333333333333	8.023822784423828	false	false
bowtie1	bowtie1	1	1.0	3	38	117.29	146.3696632385254	false	false
bowtie2	bowtie2	0.0005	0.0005	N/A	38	0.05611111111111111	1.0504341125488281	false	false
bowtie2	bowtie2	0.001	0.001	N/A	38	0.0625	0.7788581848144531	false	false
bowtie2	bowtie2	0.005	0.005	N/A	38	0.16	1.0963478088378906	false	false
bowtie2	bowtie2	0.01	0.01	N/A	38	2.8833333333333333	1.8389434814453125	false	false
bowtie2	bowtie2	0.05	0.05	N/A	38	13.633333333333333	6.27984619140625	false	false
bowtie2	bowtie2	0.1	0.1	N/A	38	30.73777777777778	11.623619079589844	false	false
bowtie2	bowtie2	1	1.0	N/A	38	994.8672222222223	151.4826431274414	false	false
indelfree_bruteforce	indelfree_bruteforce	0.0005	0.0005	N/A	38	197.76666666666668	22.03622055053711	false	false
indelfree_bruteforce	indelfree_bruteforce	0.001	0.001	N/A	38	371.13166666666666	27.816650390625	false	false
indelfree_indexed	indelfree_indexed	0.0005	0.0005	N/A	38	2.723888888888889	20.30762481689453	false	false
indelfree_indexed	indelfree_indexed	0.001	0.001	N/A	38	4.056111111111111	27.876842498779297	false	false
indelfree_indexed	indelfree_indexed	0.005	0.005	N/A	38	20.726111111111113	28.41602325439453	false	false
