mode	tool	distance_edit	mean_recall	std_recall	n_fractions
cumulative	blastn	0	1.0	0.0	4
cumulative	bowtie1	0	1.0	0.0	4
cumulative	bowtie2	0	1.0	0.0	4
cumulative	indelfree_bruteforce	0	1.0	0.0	2
cumulative	indelfree_indexed	0	1.0	0.0	4
cumulative	minimap2	0	0.0018175953934240073	0.00042982545093101995	4
cumulative	mmseqs2	0	0.984962467554157	0.00328922255610497	4
cumulative	mummer4	0	1.0	0.0	4
cumulative	sassy	0	1.0	0.0	4
cumulative	strobealign	0	0.9908294959624631	0.0027644774052764357	4
cumulative	x_mapper	0	0.9996951270487964	0.00038820995123384027	4
cumulative	blastn	1	0.9082979885160583	0.0023889783820575995	4
cumulative	bowtie1	1	0.9910749606327697	0.0007947337147662049	4
cumulative	bowtie2	1	0.996832421939563	0.00048438092251315416	4
cumulative	indelfree_bruteforce	1	0.9908652038089851	0.00003277988496032338	2
cumulative	indelfree_indexed	1	0.9911060180499409	0.0007668552710412491	4
cumulative	minimap2	1	0.001020327533502057	0.00023586023049113817	4
cumulative	mmseqs2	1	0.9359079228699148	0.004135785769100792	4
cumulative	mummer4	1	0.8569088041674487	0.0058545754432093805	4
cumulative	sassy	1	1.0	0.0	4
cumulative	strobealign	1	0.9208680116589825	0.012850067565456013	4
cumulative	x_mapper	1	0.9310183787123278	0.031139669055336522	4
cumulative	blastn	2	0.8341736297611235	0.004639844877159552	4
cumulative	bowtie1	2	0.9819256080614567	0.0020715790448853663	4
cumulative	bowtie2	2	0.9937659555475018	0.0012540282362187496	4
cumulative	indelfree_bruteforce	2	0.9840907661273072	0.002260475647423905	2
cumulative	indelfree_indexed	2	0.9833890976384443	0.0017863395093972217	4
cumulative	minimap2	2	0.0007237650774571545	0.00016615596853251092	4
cumulative	mmseqs2	2	0.8609833713524593	0.01047747558466302	4
cumulative	mummer4	2	0.7186965770117177	0.009115770394570314	4
cumulative	sassy	2	1.0	0.0	4
cumulative	strobealign	2	0.8176932567261679	0.02009948379927877	4
cumulative	x_mapper	2	0.8560271286758143	0.0609695608697757	4
cumulative	blastn	3	0.7397184553383832	0.012668086379823877	4
cumulative	bowtie1	3	0.9350775072387232	0.008579957110472384	4
cumulative	bowtie2	3	0.9249165896624085	0.010366673913045233	4
cumulative	indelfree_bruteforce	3	0.9504796206363249	0.002196131801016826	2
cumulative	indelfree_indexed	3	0.9437536670857881	0.007897908757895786	4
cumulative	minimap2	3	0.0005262232538720613	0.000115199926317084	4
cumulative	mmseqs2	3	0.7237025638704996	0.01849156463774764	4
cumulative	mummer4	3	0.5571578825991674	0.020564067325735402	4
cumulative	sassy	3	1.0	0.0	4
cumulative	strobealign	3	0.655810561083445	0.02908014518501038	4
cumulative	x_mapper	3	0.7271449827039209	0.08882101597011528	4
exact	blastn	0	1.0	0.0	4
exact	bowtie1	0	1.0	0.0	4
exact	bowtie2	0	1.0	0.0	4
exact	indelfree_bruteforce	0	1.0	0.0	2
exact	indelfree_indexed	0	1.0	0.0	4
exact	minimap2	0	0.0018175953934240073	0.00042982545093101995	4
exact	mmseqs2	0	0.984962467554157	0.00328922255610497	4
exact	mummer4	0	1.0	0.0	4
exact	sassy	0	1.0	0.0	4
exact	strobealign	0	0.9908294959624631	0.0027644774052764357	4
exact	x_mapper	0	0.9996951270487964	0.00038820995123384027	4
exact	blastn	1	0.7906666003352243	0.0024706440965215687	4
exact	bowtie1	1	0.979546490969373	0.0015977709072885168	4
exact	bowtie2	1	0.9926647423583599	0.0011223823819642078	4
exact	indelfree_bruteforce	1	0.9791243882660039	0.00035517808068923247	2
exact	indelfree_indexed	1	0.9796176494575144	0.0015221022410583285	4
exact	minimap2	1	0.0	0.0	4
exact	mmseqs2	1	0.8727413543079902	0.005453182019753399	4
exact	mummer4	1	0.6734178221133718	0.011045772685673116	4
exact	sassy	1	0.9999018714062154	0.00011524097313504241	4
exact	strobealign	1	0.8310255551200387	0.026300164082534532	4
exact	x_mapper	1	0.8427499889257827	0.07137360300839314	4
exact	blastn	2	0.5961246144800786	0.004638967903405505	4
exact	bowtie1	2	0.8756482166555674	0.004932200860572238	4
exact	bowtie2	2	0.8999391294330513	0.0037081799314454423	4
exact	indelfree_bruteforce	2	0.8817575251069714	0.005619463491847172	2
exact	indelfree_indexed	2	0.8801458986146232	0.004139648410083834	4
exact	minimap2	2	0.0	0.0	4
exact	mmseqs2	2	0.6180703161103639	0.018965813349492835	4
exact	mummer4	2	0.3477228999631291	0.008067340740108352	4
exact	sassy	2	0.9125776638096635	0.0013932911892349602	4
exact	strobealign	2	0.5158991971392863	0.029478505053406077	4
exact	x_mapper	2	0.6142950794584725	0.11942235838957929	4
exact	blastn	3	0.41154183745317374	0.007527219005290556	4
exact	bowtie1	3	0.6842165829799138	0.008680810318802336	4
exact	bowtie2	3	0.6255665287587887	0.017847602300040736	4
exact	indelfree_bruteforce	3	0.7137925987477611	0.008037371303113196	2
exact	indelfree_indexed	3	0.7078250609752045	0.008375131409830226	4
exact	minimap2	3	0.0	0.0	4
exact	mmseqs2	3	0.30026428195813176	0.011075801282475645	4
exact	mummer4	3	0.10492194602560638	0.004982259708676646	4
exact	sassy	3	0.8453524331601022	0.007315254510002417	4
exact	strobealign	3	0.18722204481514954	0.0155837121324146	4
exact	x_mapper	3	0.32486584698761284	0.10605107837945826	4
