tool_display	fraction	base_tool	max_dist	CPU_Time_Hrs	Memory_GB	CPUs	Replaced_Failed
blastn	0.0005	blastn	perc_id=84%	6.602222222222222	0.6065673828125	38	false
blastn	0.001	blastn	perc_id=84%	9.02	0.6315422058105469	38	false
blastn	0.005	blastn	perc_id=84%	44.79055555555556	0.6804008483886719	38	false
blastn	0.01	blastn	perc_id=84%	94.7238888888889	0.6959114074707031	38	false
blastn	0.05	blastn	perc_id=84%	556.6355555555556	1.309326171875	38	false
blastn	0.1	blastn	perc_id=84%	1135.9816666666666	2.8206253051757812	38	false
bowtie1	0.0005	bowtie1	3	0.041666666666666664	0.17908477783203125	38	false
bowtie1	0.001	bowtie1	3	0.0425	0.5047492980957031	38	false
bowtie1	0.005	bowtie1	3	0.09194444444444444	0.8279571533203125	38	false
bowtie1	0.01	bowtie1	3	0.10611111111111111	1.2249336242675781	38	false
bowtie1	0.05	bowtie1	3	4.071111111111111	4.152011871337891	38	false
bowtie1	0.1	bowtie1	3	10.273333333333333	8.023822784423828	38	false
bowtie1	1	bowtie1	3	117.29	146.3696632385254	38	false
bowtie2	0.0005	bowtie2	N/A	0.05611111111111111	1.0504341125488281	38	false
bowtie2	0.001	bowtie2	N/A	0.0625	0.7788581848144531	38	false
bowtie2	0.005	bowtie2	N/A	0.16	1.0963478088378906	38	false
bowtie2	0.01	bowtie2	N/A	2.8833333333333333	1.8389434814453125	38	false
bowtie2	0.05	bowtie2	N/A	13.633333333333333	6.27984619140625	38	false
bowtie2	0.1	bowtie2	N/A	30.73777777777778	11.623619079589844	38	false
bowtie2	1	bowtie2	N/A	994.8672222222223	151.4826431274414	38	false
indelfree_bruteforce	0.0005	indelfree_bruteforce	N/A	197.76666666666668	22.03622055053711	38	false
indelfree_bruteforce	0.001	indelfree_bruteforce	N/A	371.13166666666666	27.816650390625	38	false
indelfree_indexed	0.0005	indelfree_indexed	N/A	2.723888888888889	20.30762481689453	38	false
indelfree_indexed	0.001	indelfree_indexed	N/A	4.056111111111111	27.876842498779297	38	false
indelfree_indexed	0.005	indelfree_indexed	N/A	20.726111111111113	28.41602325439453	38	false
indelfree_indexed	0.01	indelfree_indexed	N/A	44.38055555555555	31.405658721923828	38	false
indelfree_indexed	0.05	indelfree_indexed	N/A	185.8361111111111	35.8313102722168	38	false
indelfree_indexed	0.1	indelfree_indexed	N/A	418.19555555555553	40.75720977783203	38	false
minimap2	0.0005	minimap2	N/A	0.029166666666666667	0.761932373046875	38	false
minimap2	0.001	minimap2	N/A	0.043333333333333335	0.7609748840332031	38	false
minimap2	0.005	minimap2	N/A	0.14666666666666667	1.122314453125	38	false
minimap2	0.01	minimap2	N/A	2.607222222222222	1.6501884460449219	38	false
minimap2	0.05	minimap2	N/A	15.636111111111111	5.146064758300781	38	false
minimap2	0.1	minimap2	N/A	34.18666666666667	9.847667694091797	38	false
minimap2	1	minimap2	N/A	517.35	90.6913948059082	38	false
mmseqs2	0.0005	mmseqs2	min-seq-id=85%	0.06666666666666667	9.994888305664062	38	false
mmseqs2	0.001	mmseqs2	min-seq-id=85%	0.06583333333333333	9.981986999511719	38	false
mmseqs2	0.005	mmseqs2	min-seq-id=85%	0.07194444444444445	10.333229064941406	38	false
mmseqs2	0.01	mmseqs2	min-seq-id=85%	0.07277777777777777	10.748485565185547	38	false
mmseqs2	0.05	mmseqs2	min-seq-id=85%	0.07166666666666667	15.302726745605469	38	false
mmseqs2	0.1	mmseqs2	min-seq-id=85%	0.13361111111111112	22.83514404296875	38	false
mmseqs2	1	mmseqs2	min-seq-id=85%	5.366666666666666	141.7624626159668	38	false
mummer4	0.0005	mummer4	N/A	0.006666666666666667	0.38628387451171875	38	false
mummer4	0.001	mummer4	N/A	0.008333333333333333	0.12126541137695312	38	false
mummer4	0.005	mummer4	N/A	0.034444444444444444	0.2599945068359375	38	false
mummer4	0.01	mummer4	N/A	0.08166666666666667	0.278717041015625	38	false
mummer4	0.05	mummer4	N/A	0.25833333333333336	0.4282646179199219	38	false
mummer4	0.1	mummer4	N/A	4.644444444444445	2.3141326904296875	38	false
mummer4	1	mummer4	N/A	47.87555555555556	9.023921966552734	38	false
sassy	0.0005	sassy	N/A	26.244444444444444	2.9534835815429688	38	false
sassy	0.001	sassy	N/A	37.25222222222222	3.1424636840820312	38	false
sassy	0.005	sassy	N/A	212.27833333333334	10.425003051757812	38	false
sassy	0.01	sassy	N/A	439.59777777777776	27.940441131591797	38	false
strobealign	0.0005	strobealign	N/A	0.005277777777777778	0.6333770751953125	38	false
strobealign	0.001	strobealign	N/A	0.005	0.6698341369628906	38	false
strobealign	0.005	strobealign	N/A	0.009444444444444445	2.023406982421875	38	false
strobealign	0.01	strobealign	N/A	0.015	3.546672821044922	38	false
strobealign	0.05	strobealign	N/A	0.03333333333333333	11.724372863769531	38	false
strobealign	0.1	strobealign	N/A	0.08083333333333333	21.288227081298828	38	false
strobealign	1	strobealign	N/A	0.32083333333333336	116.66894912719727	38	false
x_mapper	0.0005	x_mapper	N/A	0.025	6.043067932128906	38	false
x_mapper	0.001	x_mapper	N/A	0.029166666666666667	6.067150115966797	38	false
x_mapper	0.005	x_mapper	N/A	0.058611111111111114	4.178245544433594	38	false
x_mapper	0.01	x_mapper	N/A	0.065	7.346378326416016	38	false
x_mapper	0.05	x_mapper	N/A	0.42777777777777776	10.748245239257812	38	false
x_mapper	0.1	x_mapper	N/A	3.363888888888889	10.859634399414062	38	false
x_mapper	1	x_mapper	N/A	45.495555555555555	244.27741622924805	38	false
