file,n_seqs,median_length,avg_length,sum_length,min_length,max_length,gc_frac_mean,type,name
results/simulated/ns_100000_nc_10000/simulated_data/simulated_contigs.fa,10000,80582.5,80283.2723,802832723,10067,149921,0.4900290875425304,contigs,ns_100000_nc_10000
results/simulated/ns_100000_nc_10000/simulated_data/simulated_spacers.fa,100000,32.0,32.01222,3201222,25,40,0.4901987773432156,spacers,ns_100000_nc_10000
results/simulated/ns_100000_nc_20000/simulated_data/simulated_contigs.fa,20000,80348.5,80207.19875,1604143975,10014,149390,0.49001112182685447,contigs,ns_100000_nc_20000
results/simulated/ns_100000_nc_20000/simulated_data/simulated_spacers.fa,100000,32.0,32.00186,3200186,25,40,0.48982337999371056,spacers,ns_100000_nc_20000
results/simulated/ns_100_nc_5000/simulated_data/simulated_contigs.fa,5000,76244.0,76092.2646,380461323,2621,149596,0.45995863275525656,contigs,ns_100_nc_5000
results/simulated/ns_100_nc_5000/simulated_data/simulated_spacers.fa,100,35.5,35.07,3507,25,45,0.49354357501837887,spacers,ns_100_nc_5000
results/simulated/ns_3826979_nc_421431_real_baseline/simulated_data/simulated_contigs.fa,421431,50929.0,50947.79744489608,21470981225,2006,100000,0.4599934697426742,contigs,ns_3826979_nc_421431_real_baseline
results/simulated/ns_3826979_nc_421431_real_baseline/simulated_data/simulated_spacers.fa,3826979,34.0,33.837147525502495,129494053,25,40,0.47613804397470205,spacers,ns_3826979_nc_421431_real_baseline
results/simulated/ns_500000_nc_100000/simulated_data/simulated_contigs.fa,100000,279778.0,280024.79279,28002479279,10140,549926,0.4900036145015775,contigs,ns_500000_nc_100000
results/simulated/ns_500000_nc_100000/simulated_data/simulated_spacers.fa,500000,32.0,32.005912,16002956,25,40,0.4902897155345795,spacers,ns_500000_nc_100000
results/simulated/ns_50000_nc_5000/simulated_data/simulated_contigs.fa,5000,80264.5,80521.314,402606570,11391,149534,0.489992822011534,contigs,ns_50000_nc_5000
results/simulated/ns_50000_nc_5000/simulated_data/simulated_spacers.fa,50000,32.0,31.99304,1599652,25,40,0.49082402409176457,spacers,ns_50000_nc_5000
results/simulated/ns_500_nc_5000_HIGH_INSERTION_RATE/simulated_data/simulated_contigs.fa,5000,80113.5,80155.9376,400779688,11241,149479,0.490139890558717,contigs,ns_500_nc_5000_HIGH_INSERTION_RATE
results/simulated/ns_500_nc_5000_HIGH_INSERTION_RATE/simulated_data/simulated_spacers.fa,500,32.0,32.014,16007,25,39,0.489288450119831,spacers,ns_500_nc_5000_HIGH_INSERTION_RATE
results/simulated/ns_75000_nc_5000/simulated_data/simulated_contigs.fa,5000,80453.5,80214.9624,401074812,10244,149609,0.48998426650653576,contigs,ns_75000_nc_5000
results/simulated/ns_75000_nc_5000/simulated_data/simulated_spacers.fa,75000,32.0,32.021226666666664,2401592,25,40,0.48962141329513503,spacers,ns_75000_nc_5000
